"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.AREA_cm2","CWM.LDMC","CWM.SLA","CWM.HEIGHT_cm"
"2",13,13,0.148904879238002,1,0.413724258125886,0.67765822918696,1.32476811220592,2.08262975409518,1.18149510048995,0.241869923428447,206.823508825449,4.09616518348165
"3",14,14,0.158272581270609,1,0.370897131096425,0.702926187782126,1.43221270568921,2.3510282688785,0.992018343668734,0.227055966739168,214.241224192739,3.95387237447489
"5",16,16,0.426903358212126,1,0.517355277911503,0.543613117209461,1.19823244714234,2.20505715095305,1.53838178893847,0.247320879935696,190.96587404184,3.88401328214175
"6",13,13,0.175469101609771,1,0.378695182904735,0.493589860753325,0.984304213042747,1.54202505303694,1.49185486191937,0.252401943606243,178.321184403156,3.95482213522379
"8",13,13,0.0750876439240413,1,0.42568462759265,0.520329908695912,1.03982124946033,1.59728373929272,1.60844153,0.24244107561101,173.055919697291,4.0449444
"9",15,15,0.0965029166645623,1,0.608992432069971,0.62551355964376,1.16754738539977,1.93564344603654,1.62446766,0.26212822457439,172.603336645353,4.3138792
"11",14,14,0.128400302185162,1,0.599652168854221,0.671346253648759,1.23982555278784,2.0581198811063,1.45262729454109,0.255270720665287,192.256129941872,4.33720135972805
"12",15,15,0.0793404778319323,1,0.445070109708468,0.517409986012376,0.900833215330849,1.12329484319084,1.60490345069014,0.273749422721734,161.230600434505,3.98517423484697
"14",14,14,0.0825031259028135,1,0.659233348821019,0.597317884856758,1.24697380987277,2.10597776428836,1.33594404440444,0.240734324949465,185.228665500689,3.99238843884388
"15",17,17,0.387015618718585,1,0.25282805780141,0.68870070837877,1.50405056391261,2.70675619786702,1.07222411,0.22107445303219,224.246835474414,3.1038764
"17",10,10,0.075458524031907,1,0.793509497291165,0.718842437479806,1.281388178327,1.97493994324867,1.32785199807992,0.276759841770419,183.363682488647,4.32185767430697
"18",13,13,0.101392980337186,1,0.579955269786718,0.477035877551584,0.910230771374103,1.36510994815991,1.73337607068607,0.268843912590083,162.898421234093,3.9179683991684
"20",12,12,0.118396752296009,1,0.448270507262475,0.605841257905145,0.795991043454792,1.05496727866627,1.56987455491098,0.261235586053721,161.651035041187,3.69308821764353
"21",14,14,0.1752574466605,1,0.171656296844177,0.721942353298743,1.34257712283482,2.07442248304859,1.2162308331644,0.249001714273333,196.807197045593,4.03630650719643
"23",14,14,0.259681994272414,1,0.518546526124072,0.750501033067302,1.60628502662501,3.16569647156967,1.36518608721744,0.235455257160252,237.711989038268,3.71928465693139
"24",12,12,0.075730273440104,1,0.665330752956346,0.747001133230639,1.35937726371194,2.42420904794423,1.43235406075635,0.270983473191651,180.282875590464,4.95861996280223
"26",14,14,0.247311158777147,1,0.331094039105752,0.427104546305942,0.822772257959971,1.24809305975179,1.57897893210679,0.250281109235586,173.051971469175,3.6275796420358
"27",17,17,0.340260569531744,1,0.478846076125815,0.703771048909551,1.48268894124493,2.66444504841476,1.37737295616411,0.24148860376778,195.721763319723,4.65682054368542
"29",12,12,0.105608167405389,1,0.368319721563192,0.56463040149055,0.961285465693448,1.21539661395771,1.6916331815422,0.277215099242026,168.218060202077,4.24870026310464
"30",13,13,0.200416407428426,1,0.377831702497055,0.676023795473248,1.32597564701988,2.15787767527677,1.48721903190319,0.247102139911701,162.320273049631,4.35355415541554
"32",15,15,0.118986156810007,1,0.596653622052099,0.615425598698923,0.998594448581753,1.46932359086255,1.32926025913554,0.263393344523859,174.248668780096,4.07510760198401
"33",16,16,0.205607806893273,1,0.603939081460148,0.642493885905817,1.0388492804663,1.63432029619819,1.43115117723675,0.246835518550045,167.206144183691,3.78619617272818
"35",16,16,0.423266719001882,1,0.467105553055818,0.636545433967799,1.34893739903361,2.22488988105215,1.30787294070432,0.257792581035527,182.971434609805,4.26635737935186
"36",16,16,0.230494171439763,1,0.612229648880136,0.691756103964658,1.48309001162505,2.91550730944644,1.53198022604521,0.265454398680536,190.197689633798,4.53476135227045
"38",14,14,0.259189597143415,1,0.67818827500648,0.714397201773258,1.69341681372446,3.39497454732633,1.7976012727464,0.24839682175862,188.07218086336,4.49593268118229
"39",13,13,0.194822808909764,1,0.319124406822099,0.546984637161406,0.712485416787683,1.01118283528991,1.50223351394742,0.254917566508128,165.663660134339,3.51890387316877
"41",12,12,0.158398744623692,1,0.506790645976881,0.676506996875131,1.35842032814638,2.18319400377829,1.27970106978604,0.240072655832394,199.206287245384,3.93970205958808
"42",15,15,0.182330113283648,1,0.404953476111406,0.552030780359002,1.13765132031741,1.84276915731668,1.73334496819272,0.247472817903681,168.381170766272,3.89368359578684
"44",13,13,0.0662731188279865,1,0.631270363838767,0.708829755577787,1.03307195009959,1.36619772177595,1.34232127212721,0.253147059624212,170.979591227384,3.95561756175618
"45",13,13,0.0548747777968591,1,0.500813978767191,0.715793554167615,1.07586774756973,1.5098802117128,1.25179767976798,0.254437045061836,175.072439028943,4.00267706770677
"47",12,12,0.136662633957546,1,0.423047132430998,0.554527416698834,1.23206017328191,2.00328512919475,1.72807961,0.23889170870923,185.408036946125,4.2283124
"48",15,15,0.218719487109769,1,0.392232599570867,0.50878107563494,0.921194031543145,1.28093736105044,1.44009162083792,0.259528474711379,167.392667139537,3.99712828717128
"50",13,13,0.260653649409519,1,0.484304668833016,0.690148656114123,1.5789782998114,2.79267227212755,1.22997478331804,0.242945555110309,199.851619048456,4.54346201692669
"51",13,13,0.279504543674087,1,0.3580663378544,0.672217653370276,1.47928402469594,2.73887556953974,1.37178579132732,0.25465262337757,193.340782847837,3.44462601804975
"53",11,11,0.0807603102913689,1,0.585884259975609,0.608371574850712,1.20129308842999,1.99912341656701,1.83427088417684,0.253225813346829,178.80936731506,4.51752390478096
"54",14,14,0.175915971685618,1,0.587221090445425,0.687112013567627,1.57326193880568,2.92277994659108,1.50994352870574,0.244479026529126,206.283607645613,4.89140788157632
"56",13,13,0.0984830768513879,1,0.546392408555178,0.794688380388967,1.43484859160768,2.27863371491373,1.04914790169739,0.256372440118067,211.972812733539,3.65802811621368
"57",13,13,0.0728048921621614,1,0.677517045859612,0.595005099427288,1.02243622439459,1.43210584350737,1.27871840974212,0.2491027183408,182.381548276401,3.94183749488334
"59",16,16,0.282032311809431,1,0.343695154007957,0.662635021878428,1.37662391596431,2.31317998841674,1.17175074719159,0.245288136729692,203.044668379284,3.31208203648356
"60",12,12,0.0854193431515149,1,0.726251591230687,0.709564064557866,1.42252673871677,2.48752135118402,1.9198180929883,0.257086849028798,174.21594099441,4.8603569204338
"62",14,14,0.200345179683252,1,0.444572635980966,0.63666391938641,1.38255334417245,2.50186164998295,1.56653572,0.26539623727423,178.262532489276,4.6324768
"63",14,14,0.177591640716664,1,0.67358059310633,0.648146708791279,1.31730406897254,2.27279650385359,1.7422773436703,0.260868904734734,183.090897680813,4.3219944914822
"65",13,13,0.27289670325822,1,0.423170894127254,0.599144051544461,1.38759744293849,2.63848151620753,1.55349948989798,0.280509498321104,181.053701558023,4.8644900980196
"66",15,15,0.0976901983355321,1,0.326368391891454,0.68836334807375,1.1963723830954,1.7418350032709,1.24856858039692,0.26087639755484,192.341561526508,3.66109720534629
"68",14,14,0.0929269048724645,1,0.450716779167355,0.507713512270204,0.70568694068892,0.827492661377891,1.45956722735881,0.264357389580773,161.702943214364,3.71849526567896
"69",14,14,0.279950583600174,1,0.471599920209532,0.620641545561796,1.21250603123138,1.79967089381435,1.17772254699442,0.275699442606269,185.900226241661,3.9316814707705
"71",15,15,0.163335332241618,1,0.318201888605022,0.670072551600547,1.32824643625223,2.28859066896512,1.73117734908421,0.258911121179148,179.020469521607,5.00706621870597
"72",18,18,0.286044404954706,1,0.301740282732489,0.693212091965757,1.48397341286447,2.72944776812106,1.33204931068711,0.236834053582949,189.280357097647,4.13382905040256
"74",14,14,0.153661605228983,1,0.627096808869655,0.636503699927732,1.25095044313357,2.19940140034525,1.7144400340034,0.261136269543414,182.756591894151,4.44763196319632
"75",17,17,0.223331812142762,1,0.517979897393745,0.654905354527025,1.09244910078749,1.87547039948988,1.50352807403702,0.257968715047844,165.45044781647,3.69820190095048
"77",13,13,0.143331054818087,1,0.369067333849006,0.587189498769909,1.19152314777638,1.78955152338395,1.31730192834447,0.239886552582316,193.28981705995,3.3956730579599
"78",11,11,0.158921539373415,1,0.463932900385338,0.556052887558705,1.27095861962979,2.15040088434166,1.55568268653731,0.244257406290658,200.609678399161,4.42306981396279
"80",15,15,0.163528028335344,1,0.374408565243961,0.5916443145013,1.23477412735596,1.79315664957763,1.2016331816343,0.237139606717273,199.444311260442,3.20913430420712
"81",15,15,0.184816876278552,1,0.555829716078475,0.667794179158365,1.53975439755956,2.84617750276055,1.26341347738693,0.231053256094151,219.529828308336,3.65494713567839
"83",13,13,0.135448202705852,1,0.629404375501401,0.569869933907551,0.904799357282891,1.37671495721801,1.71063966206759,0.262361081821676,158.412357954993,3.90246270745851
"84",12,12,0.0786063915984164,1,0.472440166807618,0.549400168592744,1.1202712482909,2.02260345216232,2.01898423953365,0.267460138165109,150.997139389848,4.21054160042395
"86",13,13,0.079607521603281,1,0.588121091833124,0.567261074345627,0.985365512432708,1.34767836901285,1.26111536846315,0.251312534357934,185.579091048268,3.26075632436756
"87",14,14,0.069019915717642,1,0.673187974830203,0.560364948454525,0.98201052548237,1.49478917194055,1.44270659934007,0.245803485854914,178.710342539997,3.36569183081692
"89",14,14,0.215206625467795,1,0.608606374152477,0.783369508801776,1.50118106605733,2.67072136744203,1.30903447689538,0.264840284203001,201.854310662867,3.71854330866173
"90",14,14,0.233966308957789,1,0.706803169699327,0.728658715571015,1.5523112731943,2.82164399998449,1.38287917334188,0.259085639335106,199.280688336666,4.36672006835416
